Idusuario,Deslogin,Dessenha,Dtcadastro
10,aluno,123456,2020-04-05 17:41:08
11,aluno,123456,2020-04-05 17:43:13
12,aluno,123456,2020-04-05 17:44:38
13,aluno,123456,2020-04-05 17:45:50
14,aluno,123456,2020-04-05 17:47:51
15,aluno,123456,2020-04-05 18:03:42
16,aluno,123456,2020-04-05 18:03:44
17,aluno,123456,2020-04-05 18:03:44
18,aluno,123456,2020-04-05 18:12:11
19,aluno,123456,2020-04-05 18:13:03
20,aluno,123456,2020-04-05 18:13:32
21,aluno,123456,2020-04-05 20:32:15
8,Joao,!@#$,2020-02-15 21:13:23
9,Joao,!@#$,2020-02-16 17:02:04
7,user,12345,2020-02-15 21:13:23
